turk_uydu,cop_parca,cop_kaynak,mesafe_t0_km,hiz_t0_km_s,tahmin_t24_km,gercek_t24_km,hata_km,hiz_t24_km_s,delta_mesafe_km,cop_inclination_deg,cop_eccentricity,cop_sma_km,cop_perigee_km,cop_apogee_km,roket_govdesi,malzeme,yanma_orani,yere_dusme_riski,orbital_risk_skoru,bilesik_risk_skoru,risk_sinifi,trend,hesap_utc
GOKTURK 2,COSMOS 2251 DEB,cosmos_2251_copleri,5401.24,4.856,4691.44,6327.56,1636.12,7.401,926.32,74.0306,0.0009,7036.725,659.0858,672.3641,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,2339.08,3.972,4703.23,3788.43,-914.8,4.225,1449.35,74.0489,0.0089,7061.68,628.0761,753.2839,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,13889.92,14.332,4715.25,5656.37,941.12,7.044,-8233.55,74.0431,0.0073,7189.5342,765.9693,871.099,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,4335.07,5.535,4738.68,5819.71,1081.03,6.196,1484.64,74.0305,0.0012,7072.0582,692.337,709.7795,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,12860.77,14.75,4784.23,1369.01,-3415.22,6.322,-11491.77,74.0007,0.0055,6888.9912,479.9385,556.0439,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,COSMOS 2251 DEB,cosmos_2251_copleri,13838.44,2.037,4792.41,2035.23,-2757.18,14.91,-11803.2,74.0328,0.0033,7014.262,619.7916,666.7324,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,COSMOS 2251 DEB,cosmos_2251_copleri,13183.09,14.153,4819.76,3032.28,-1787.48,5.145,-10150.81,73.7299,0.0143,7195.9303,721.8464,928.0141,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,3127.84,14.939,4845.86,859.21,-3986.65,14.7,-2268.63,74.0433,0.0107,7151.8372,704.4749,857.1995,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,12319.16,6.281,4875.03,1403.84,-3471.19,13.07,-10915.32,74.0123,0.0083,7011.7329,582.1927,699.2732,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,6912.9,14.258,4897.45,3782.99,-1114.46,13.742,-3129.9,74.0303,0.0022,7155.8112,768.8022,800.8201,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,10394.21,3.752,4898.75,2350.95,-2547.8,10.603,-8043.26,73.9988,0.0017,7005.1088,622.1063,646.1114,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,6894.97,14.692,4952.26,6092.74,1140.48,14.156,-802.23,74.0272,0.0023,7154.2302,766.945,799.5153,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,4023.03,6.391,4954.5,2843.67,-2110.83,7.77,-1179.36,74.0129,0.0022,7068.2948,682.0605,712.5291,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-34016,aktif_uydular,11688.17,15.107,1462.14,560.93,-901.21,8.494,-11127.25,43.0,0.0001,6861.2916,489.3598,491.2234,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
